Last Name	First Name	Social Security Number US	CCN
White	Johnson	660-03-8360	5270-4267-6450-5516
Borden	Ashley	751-01-2327	5370-4638-8881-3020
Green	Marjorie	559-81-1301	4916-9766-5240-6147
Munsch	Jerome	624-84-9181	5180-3807-3679-8221
Aragon	Robert	449-48-3135	4929-3813-3266-4295
Russell	Jacki	477-36-0282	345389698201044
Venson	Lillian	458-02-6124	30204861594838
Conley	Thomas	044-34-6954	4916 4811 5814 8111
Jackson	Charles	587-03-2682	5218 0144 2703 9266
Davis	Susan	421-90-3440	4916 4034 9269 8783
Watson	Gail	451-80-3526	4532 1753 6071 1112
